Toyota Land Cruiser/$ 44 300/"https://im.mashina.kg/tachka/images//4/a/7/4a77be48d8dd0e1620cf60e192a40a6e_240x180.jpg"/2012 г., 4.6 л., автомат/внедорожник 5 дв., бензин/руль слева, 190 000 км
Toyota Crown/$ 9 500/"https://im.mashina.kg/tachka/images//b/0/a/b0a6b2cea38c3bb7820c083cf3fe68b3_240x180.jpg"/2004 г., 3 л., автомат/седан, бензин/руль справа
Toyota Land Cruiser Prado/$ 15 400/"https://im.mashina.kg/tachka/images//5/8/4/584ac5011154c584c46efd8e8e661fc2_240x180.jpg"/2003 г., 3.4 л., автомат/внедорожник 5 дв., бензин/руль справа, 347 000 км
Mercedes-Benz S-класс/$ 9 500/"https://im.mashina.kg/tachka/images//d/6/9/d69cd6e90f80ddcdfb4703d71cea4e54_240x180.jpg"/2004 г., 3.7 л., автомат/седан, бензин/руль слева, 199 000 км
Lexus GS/$ 6 900/"https://im.mashina.kg/tachka/images//8/c/1/8c17d98e8507d9feb701a9057a78de6b_240x180.jpg"/2005 г., 3 л., автомат/седан, бензин/руль слева, 79 000 км
Chevrolet Volt/$ 20 900/"https://im.mashina.kg/tachka/images//5/e/2/5e2c8762ca524b1c8027ce74b65d08de_240x180.jpg"/2016 г., 1.5 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 192 000 км
Land Rover Range Rover/$ 17 000/"https://im.mashina.kg/tachka/images//f/b/f/fbf690f59cfb8595acd79143e11e24f5_240x180.jpg"/2010 г., 5 л., автомат/внедорожник 5 дв., бензин/руль слева, 157 000 км
Honda Jazz/$ 4 900/"https://im.mashina.kg/tachka/images//d/b/6/db695677df3782759ca4330d2e44da7b_240x180.jpg"/2003 г., 1.3 л., механика/хэтчбек 5 дв., бензин/руль слева, 260 000 км
Toyota Sequoia/$ 29 000/"https://im.mashina.kg/tachka/images//7/c/e/7ced02581b0162b7e96ab4d029026c47_240x180.jpg"/2010 г., 5.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 140 000 км
Toyota Venza/$ 23 000/"https://im.mashina.kg/tachka/images//1/8/f/18fe789aad4af9730eb5206517ada29e_240x180.jpg"/2013 г., 3.5 л., автомат/внедорожник 5 дв., бензин/руль слева, 88 100 км
Volkswagen Passat/$ 2 359/"https://im.mashina.kg/tachka/images//a/3/7/a37ab3443c030355ad8723eba7c1b68b_240x180.jpg"/1990 г., 1.8 л., механика/универсал, бензин/руль слева
Infiniti FX/$ 17 500/"https://im.mashina.kg/tachka/images//c/9/5/c95a891d2cb34f669c2d12cdd56b5900_240x180.jpg"/2011 г., 3.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 152 000 км
Toyota Prius/$ 13 000/"https://im.mashina.kg/tachka/images//f/a/8/fa8e16a6cbb9925ea55db207c7986418_240x180.jpg"/2015 г., 1.8 л., автомат/хэтчбек 5 дв., гибрид/руль слева, 112 654 км
Kia K5/$ 14 500/"https://im.mashina.kg/tachka/images//e/5/d/e5dd6e3c3562d94697fe2b203ae5a86b_240x180.jpg"/2015 г., 2 л., автомат/седан, бензин/руль слева, 198 000 км
Lexus GX/$ 24 500/"https://im.mashina.kg/tachka/images//2/3/3/233b226ba9960461e1ef2257bd5dcd9c_240x180.jpg"/2007 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 185 000 км
Toyota Avalon/$ 16 200/"https://im.mashina.kg/tachka/images//2/2/0/22053fd82613684c75236ff2a98f3295_240x180.jpg"/2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 200 000 км
Toyota Highlander/$ 33 500/"https://im.mashina.kg/tachka/images//4/7/5/475015b2c977d6c50330b8fe4da83e30_240x180.jpg"/2015 г., 3.5 л., автомат/внедорожник 5 дв., бензин/руль слева, 100 000 км
Mitsubishi Montero/$ 9 600/"https://im.mashina.kg/tachka/images//b/2/b/b2b55216cd3c31bf57423be445886ef9_240x180.jpg"/2001 г., 3.5 л., автомат/внедорожник 5 дв., бензин/руль слева, 120 000 км
Lexus RX/$ 22 000/"https://im.mashina.kg/tachka/images//9/6/9/969be73e3cde8435fd96ff601345d910_240x180.jpg"/2012 г., 3.5 л., автомат/внедорожник 5 дв., бензин/руль слева
Toyota Avalon/$ 17 500/"https://im.mashina.kg/tachka/images//6/b/1/6b1caa9d02da7bbc9b0c1992ab354431_240x180.jpg"/2013 г., 2.5 л., вариатор/седан, гибрид/руль слева
Lexus LX/$ 43 500/"https://im.mashina.kg/tachka/images//f/a/e/fae0cedaad4a78dc55091d8f62c5b5a1_240x180.jpg"/2013 г., 5.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км
Lexus RX/$ 13 900/"https://im.mashina.kg/tachka/images//2/5/f/25fbfbfdf63ae99127b31da49a5c32cb_240x180.jpg"/2004 г., 3.3 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км
Lexus LX/$ 20 000/"https://im.mashina.kg/tachka/images//f/7/0/f705fa6c7668dc3f3d89e2d13ed1736d_240x180.jpg"/2006 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева
Toyota Prius/$ 12 800/"https://im.mashina.kg/tachka/images//a/8/7/a87c0bb512da1fb87d501125a24a8923_240x180.jpg"/2017 г., 1.8 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 104 607 км
Mercedes-Benz S-класс/$ 45 000/"https://im.mashina.kg/tachka/images//f/1/f/f1f3038ec40888ea96e1fb59c865e40b_240x180.jpg"/2014 г., 3 л., автомат/седан, бензин/руль слева
Toyota 4Runner/$ 35 000/"https://im.mashina.kg/tachka/images//8/d/3/8d33be21b68e4d190f70a300fa58fb46_240x180.jpg"/2016 г., 4 л., автомат/внедорожник 5 дв., бензин/руль слева, 71 077 км
Mercedes-Benz S-класс/$ 10 200/"https://im.mashina.kg/tachka/images//f/8/a/f8a18e04f00a4762be41884dc1515224_240x180.jpg"/2006 г., 5.5 л., автомат/седан, бензин/руль слева, 202 000 км
Mercedes-Benz S-класс/$ 9 800/"https://im.mashina.kg/tachka/images//f/3/7/f3790ebfdbd76527c0ee0f09fcd6b778_240x180.jpg"/2007 г., 5.5 л., автомат/седан, бензин/руль слева, 202 337 км
Toyota Alphard/$ 13 500/"https://im.mashina.kg/tachka/images//5/a/8/5a8ce61cadc77085c048033f033d3b0b_240x180.jpg"/2005 г., 3 л., автомат/минивэн, бензин/руль справа
Lexus GX/$ 27 000/"https://im.mashina.kg/tachka/images//f/b/2/fb25ce78dc50d9148204253bfd993ab9_240x180.jpg"/2008 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 250 000 км
Lexus GS/$ 7 000/"https://im.mashina.kg/tachka/images//b/9/3/b931aeb3dcb8a1418e6d289ad0183b17_240x180.jpg"/2003 г., 3 л., автомат/седан, бензин/руль слева, 276 000 км
Subaru Legacy/$ 6 400/"https://im.mashina.kg/tachka/images//1/3/2/1329e658ff9cf1035f582fb878538818_240x180.jpg"/2003 г., 2 л., автомат/универсал, бензин/руль справа, 225 000 км
Toyota RAV 4/$ 15 900/"https://im.mashina.kg/tachka/images//7/8/b/78b8a1eadc29741b316dfea4903592ab_240x180.jpg"/2013 г., 2.5 л., автомат/внедорожник 5 дв., бензин/руль слева, 77 000 км
BMW X5/$ 32 000/"https://im.mashina.kg/tachka/images//4/e/c/4ec46bf65884acaf94ba80adc4310356_240x180.jpg"/2014 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева
Lexus GS/$ 6 500/"https://im.mashina.kg/tachka/images//8/c/6/8c6c057da284ba23af1ca0a4813b6a1e_240x180.jpg"/2001 г., 3 л., автомат/седан, бензин/руль справа, 210 000 км
Kia Sorento/$ 18 800/"https://im.mashina.kg/tachka/images//c/2/5/c258fdd1b4d79386f50988f036bc68b4_240x180.jpg"/2016 г., 2 л., автомат/внедорожник 5 дв., дизель/руль слева, 99 900 км
Toyota Highlander/$ 22 100/"https://im.mashina.kg/tachka/images//0/4/9/0495692b61ff8e4dab466a20c0ab3328_240x180.jpg"/2012 г., 3.5 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км
Toyota Camry/$ 14 200/"https://im.mashina.kg/tachka/images//3/0/4/3048f74c60393f1c18d2cf80f98c5c71_240x180.jpg"/2015 г., 2.5 л., автомат/седан, бензин/руль слева, 92 000 км
Mercedes-Benz E-класс/$ 11 650/"https://im.mashina.kg/tachka/images//4/0/9/40909441e0a03ad6ff1c58b5dba7c5e4_240x180.jpg"/2009 г., 3.5 л., автомат/седан, бензин/руль слева, 156 365 км
Kia Rio/$ 2 713/"https://im.mashina.kg/tachka/images//c/d/d/cdda5c400336c1526d1fd668e6536411_240x180.jpg"/2004 г., 1.5 л., автомат/хэтчбек 5 дв., бензин/руль слева, 219 000 км
Skywell ET5/$ 29 000/"https://im.mashina.kg/tachka/images//5/e/2/5e28411fc7c2a567361bcfeb7f3d7c5e_240x180.jpg"/2021 г., автомат/внедорожник 5 дв., электро/руль слева
Lexus GS/$ 24 500/"https://im.mashina.kg/tachka/images//d/6/a/d6af78baab9810c0b9ce0051a24b1f0d_240x180.jpg"/2013 г., 3.5 л., автомат/седан, бензин/руль слева, 130 000 км
Lexus LX/$ 12 400/"https://im.mashina.kg/tachka/images//8/a/3/8a3e306048c01895e19c9cf9a117ad12_240x180.jpg"/1999 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 230 000 км
Toyota Sequoia/$ 12 200/"https://im.mashina.kg/tachka/images//0/5/c/05cdcb3a2f2e8585a08138b7ecc4d2ae_240x180.jpg"/2002 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 100 000 км
Acura MDX/$ 14 500/"https://im.mashina.kg/tachka/images//6/1/5/615e0577dafeb0b7bce0b4e5f99115f2_240x180.jpg"/2007 г., 3.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 217 000 км
Mercedes-Benz E-класс AMG/$ 22 000/"https://im.mashina.kg/tachka/images//b/5/b/b5b90768eba71caf95e1a5d907b25ec6_240x180.jpg"/2007 г., 6.2 л., автомат/седан, бензин/руль слева
Daewoo Damas/$ 2 948/"https://im.mashina.kg/tachka/images//d/f/1/df18ed02b08de32f3b345275c0edb684_240x180.jpg"/1999 г., 0.8 л., механика/минивэн, бензин/руль слева, 158 888 км
Mercedes-Benz C-класс/$ 3 125/"https://im.mashina.kg/tachka/images//7/c/8/7c85b364f5620b8b1d8c99a8578917b0_240x180.jpg"/1995 г., 1.8 л., механика/седан, бензин/руль слева, 470 000 км
Lexus LX/$ 28 500/"https://im.mashina.kg/tachka/images//e/6/c/e6c58d50b722e42cac9076b0ae1a9a52_240x180.jpg"/2008 г., 5.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км
Mazda Premacy/$ 2 900/"https://im.mashina.kg/tachka/images//a/1/5/a1522840c12f42a5b0887708c05306cc_240x180.jpg"/2000 г., 1.8 л., механика/минивэн, бензин/руль слева
Subaru Forester/$ 5 800/"https://im.mashina.kg/tachka/images//f/6/2/f62c51329ef35d5ed717235743fe2fdd_240x180.jpg"/2002 г., 2 л., автомат/универсал, бензин/руль справа, 258 387 км
Toyota Alphard/$ 15 600/"https://im.mashina.kg/tachka/images//4/d/f/4df784a626079041fa0ff20fc1459161_240x180.jpg"/2007 г., 3 л., автомат/минивэн, бензин/руль слева, 200 000 км
Toyota Camry/$ 6 800/"https://im.mashina.kg/tachka/images//c/4/3/c43c775fe4a441dafb835616fb37aec3_240x180.jpg"/2005 г., 2.4 л., механика/седан, бензин/руль слева, 230 655 км
Lexus LS/$ 9 300/"https://im.mashina.kg/tachka/images//1/2/8/1285125e46d3d5bc53ec4d15646fc0ea_240x180.jpg"/2007 г., 4.6 л., автомат/седан, бензин/руль слева, 213 000 км
Mercedes-Benz E-класс/$ 4 128/"https://im.mashina.kg/tachka/images//e/f/5/ef55596202afa30f0c93f9a116cf2a47_240x180.jpg"/1999 г., 2.4 л., механика/седан, бензин/руль слева, 300 000 км
Daewoo Nexia/$ 2 182//2010 г., 1.5 л., механика/седан, бензин/руль слева, 18 252 км
Land Rover Freelander/$ 4 800/"https://im.mashina.kg/tachka/images//4/f/a/4fa67763f41bb85e3b84352f681174a5_240x180.jpg"/1999 г., 2 л., механика/внедорожник 5 дв., дизель/руль слева
Ford Sierra/$ 1 061/"https://im.mashina.kg/tachka/images//d/b/7/db7ff4ce632ad17ad040308b098e89b3_240x180.jpg"/1993 г., 2 л., механика/седан, бензин/руль слева
ВАЗ (Lada) 21099/$ 943/"https://im.mashina.kg/tachka/images//d/a/9/da9d94a60f3d0aa608d002a61db5a779_240x180.jpg"/2002 г., 1.5 л., механика/седан, бензин/руль слева
Toyota Sienna/$ 12 500/"https://im.mashina.kg/tachka/images//d/e/c/dec05b32a017070e917033c58f552276_240x180.jpg"/2009 г., 3.5 л., автомат/минивэн, бензин/руль слева, 160 000 км
Toyota Opa/$ 4 700/"https://im.mashina.kg/tachka/images//1/5/7/157358f728e3942398e16560835be52e_240x180.jpg"/2001 г., 1.8 л., автомат/минивэн, бензин/руль справа
Mercedes-Benz E-класс/$ 3 500/"https://im.mashina.kg/tachka/images//6/e/8/6e8f997515420ac14b497386ef0bc136_240x180.jpg"/1998 г., 2.4 л., автомат/седан, бензин/руль слева
Daewoo Kalos/$ 3 184/"https://im.mashina.kg/tachka/images//0/4/5/045e44ce687e20088cc00d41b381bf07_240x180.jpg"/2004 г., 1.4 л., механика/хэтчбек 5 дв., бензин/руль слева, 269 000 км
Toyota Ist/$ 6 100/"https://im.mashina.kg/tachka/images//7/7/e/77e9821717e79bb4987a78c277ce5c49_240x180.jpg"/2003 г., 1.5 л., автомат/хэтчбек 5 дв., бензин/руль справа, 216 000 км
Mazda Demio/$ 2 771/"https://im.mashina.kg/tachka/images//7/a/6/7a6125f42a18346e29ea273942e3f617_240x180.jpg"/1999 г., 1.3 л., автомат/хэтчбек 5 дв., бензин/руль справа
Toyota Camry/$ 17 000/"https://im.mashina.kg/tachka/images//f/6/2/f624860ae4b43d6312489954bd19ae68_240x180.jpg"/2015 г., 2.5 л., автомат/седан, бензин/руль слева, 72 000 км
Daewoo Matiz/$ 1 297/"https://im.mashina.kg/tachka/images//2/0/d/20d09a3013141024110a48d3a6b34f22_240x180.jpg"/1999 г., 0.8 л., механика/хэтчбек 5 дв., бензин/руль слева, 271 000 км
Volkswagen Transporter/$ 3 000/"https://im.mashina.kg/tachka/images//6/6/e/66eaec24132921e79c8c76eef26c6d97_240x180.jpg"/1990 г., 1.9 л., механика/минивэн, дизель/руль слева, 100 000 км
Toyota Camry/$ 4 200/"https://im.mashina.kg/tachka/images//4/7/0/47013eb8cb473e984c001c88a6aa9ec1_240x180.jpg"/1994 г., 2.2 л., механика/универсал, бензин/руль слева, 414 000 км
Lexus IS/$ 9 500/"https://im.mashina.kg/tachka/images//b/e/3/be31e3780ed1cb4ead8b0c922b291b38_240x180.jpg"/2008 г., 2.5 л., автомат/седан, бензин/руль слева, 161 850 км
Nissan Primera/$ 2 359/"https://im.mashina.kg/tachka/images//9/7/a/97ac96b8baa9478738fe637f326e6110_240x180.jpg"/2004 г., 2.2 л., механика/хэтчбек 5 дв., дизель/руль слева
Toyota Land Cruiser/$ 32 500/"https://im.mashina.kg/tachka/images//b/b/4/bb4a96c9213088c091cdafa6ccc28e99_240x180.jpg"/2011 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 180 000 км
Nissan Almera/$ 3 500/"https://im.mashina.kg/tachka/images//3/5/8/358ec63abaaee84777932f96c85d0e1a_240x180.jpg"/2000 г., 1.8 л., автомат/хэтчбек 5 дв., бензин/руль слева
Opel Omega/$ 1 061/"https://im.mashina.kg/tachka/images//f/d/d/fdd8bc97b7a8520b5185d09633847f77_240x180.jpg"/1991 г., 2 л., механика/седан, бензин/руль слева, 171 000 км
BMW 5 Серия/$ 18 500/"https://im.mashina.kg/tachka/images//f/b/2/fb28d40bc29c0106a8b085b59ec1891e_240x180.jpg"/2014 г., 2 л., автомат/седан, бензин/руль слева, 120 000 км
Land Rover Range Rover/$ 21 500/"https://im.mashina.kg/tachka/images//7/1/8/718257d9b913d6f8d42d0d773ce558d3_240x180.jpg"/2011 г., 5 л., автомат/внедорожник 5 дв., бензин/руль слева, 156 000 км
Mazda 6/$ 5 300/"https://im.mashina.kg/tachka/images//6/f/b/6fb544948236d284c6967c403709f6e2_240x180.jpg"/2003 г., 2 л., автомат/"хэтчбек/лифтбек, бензин"/руль слева, 172 321 км
Daewoo Damas/$ 2 477//1999 г., 0.8 л., механика/минивэн, бензин/руль слева, 18 000 км
Lexus LX/$ 34 999/"https://im.mashina.kg/tachka/images//a/f/6/af66df6b362f4bbbc0d6dfcb960ed183_240x180.jpg"/2011 г., 5.7 л., автомат/внедорожник 5 дв., бензин/руль слева
BMW X6/$ 16 000/"https://im.mashina.kg/tachka/images//0/5/f/05fa02036df1c2611789c8491325eac5_240x180.jpg"/2009 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 160 000 км
Toyota Camry/$ 23 900/"https://im.mashina.kg/tachka/images//5/8/1/581f3dc8d9c0891e3fc02ca257258bbf_240x180.jpg"/2018 г., 2.5 л., автомат/седан, бензин/руль слева, 53 000 км
Volkswagen Passat/$ 1 474/"https://im.mashina.kg/tachka/images//2/b/c/2bca6af06e78b458a34fe9387f9d06e3_240x180.jpg"/1989 г., 1.8 л., механика/универсал, бензин/руль слева
Subaru Outback/$ 9 800/"https://im.mashina.kg/tachka/images//9/1/c/91c8ede4fc2520046ceeb982b4b62bd9_240x180.jpg"/2007 г., 2.5 л., автомат/седан, бензин/руль слева, 152 200 км
BMW 5 Серия/$ 6 300/"https://im.mashina.kg/tachka/images//5/0/1/5015a30a324a4449fe95d0f2eea37f04_240x180.jpg"/2002 г., 2.5 л., автомат/седан, бензин/руль слева, 150 000 км
Daewoo Matiz/$ 2 359/"https://im.mashina.kg/tachka/images//c/d/c/cdc0ae8d791224164e66ad8653b04cfa_240x180.jpg"/2007 г., 0.8 л., механика/хэтчбек 5 дв., бензин/руль слева, 180 000 км
Daewoo Nexia/$ 2 948/"https://im.mashina.kg/tachka/images//0/2/2/022e371c6c4e9540225058eaedf1fc3c_240x180.jpg"/2013 г., 1.5 л., механика/седан, бензин/руль слева, 125 800 км
ВАЗ (Lada) 21099/$ 1 533/"https://im.mashina.kg/tachka/images//6/5/0/6501cd471a13252ddcd3761eca0f1a3e_240x180.jpg"/1999 г., 1.5 л., механика/седан, бензин/руль слева, 150 000 км
BMW 5 Серия/$ 6 200/"https://im.mashina.kg/tachka/images//8/5/4/85415fe27f05eafcc183edd01fac8037_240x180.jpg"/2002 г., 2.5 л., автомат/седан, бензин/руль слева, 180 000 км
Toyota Camry/$ 13 500/"https://im.mashina.kg/tachka/images//6/5/c/65c2d752a18354a8b58e64af0c4ab8fb_240x180.jpg"/2012 г., 2.5 л., автомат/седан, бензин/руль слева, 151 673 км
Mercedes-Benz CLS-класс/$ 9 800/"https://im.mashina.kg/tachka/images//2/9/d/29dd73089796f6450da1f0203406020d_240x180.jpg"/2005 г., 3.5 л., автомат/седан, бензин/руль слева, 201 585 км
Mercedes-Benz E-класс/$ 5 500/"https://im.mashina.kg/tachka/images//d/8/4/d84e746f3519344c70d05cca8ac8c3db_240x180.jpg"/2001 г., 2 л., механика/седан, бензин/руль слева
Chevrolet Lacetti/$ 3 300/"https://im.mashina.kg/tachka/images//a/7/9/a79a549aea5095411e93b39bf4f42977_240x180.jpg"/2011 г., 1.6 л., механика/седан, бензин/руль слева, 218 000 км
Daewoo Nexia/$ 1 769/"https://im.mashina.kg/tachka/images//9/d/4/9d41af9570fd6712835c9350f43ceaf4_240x180.jpg"/2008 г., 1.6 л., механика/седан, бензин/руль слева, 250 000 км
Citroen Xantia/$ 1 002/"https://im.mashina.kg/tachka/images//2/7/f/27ff44f75ccbe210857ecf840655c7f2_240x180.jpg"/1994 г., 1.8 л., механика/хэтчбек 5 дв., бензин/руль слева, 220 000 км
Toyota Allex/$ 5 200/"https://im.mashina.kg/tachka/images//5/c/5/5c5ef5059aba05bad6062ea042fdf106_240x180.jpg"/2005 г., 1.5 л., автомат/хэтчбек 5 дв., бензин/руль справа
BMW 5 Серия/$ 3 066/"https://im.mashina.kg/tachka/images//2/a/b/2ab4a3dbd69c10cc94bd48dfbf93d4b0_240x180.jpg"/1994 г., 2 л., механика/седан, бензин/руль слева, 456 789 км
Honda Accord/$ 3 500/"https://im.mashina.kg/tachka/images//8/4/b/84b7096e03ba9bb9691d97159d1eb409_240x180.jpg"/1999 г., 2 л., автомат/седан, бензин/руль слева
Daewoo Matiz/$ 1 415/"https://im.mashina.kg/tachka/images//b/b/8/bb874d3ee91f40fb81e8995f80e03e81_240x180.jpg"/1999 г., 0.8 л., механика/хэтчбек 5 дв., бензин/руль слева
Daewoo Matiz/$ 1 828/"https://im.mashina.kg/tachka/images//f/9/0/f902c8056293134147a881428a7087b8_240x180.jpg"/2013 г., 0.8 л., механика/хэтчбек 5 дв., бензин/руль слева
Honda Accord/$ 4 128/"https://im.mashina.kg/tachka/images//9/8/6/986c6b37ed613213f9a7535008326dcf_240x180.jpg"/2001 г., 1.9 л., автомат/хэтчбек 5 дв., бензин/руль справа, 155 000 км
Hyundai Getz/$ 3 774/"https://im.mashina.kg/tachka/images//3/4/1/341002a1ca34494bd0dce4b312a23b47_240x180.jpg"/2005 г., 1.3 л., механика/хэтчбек 5 дв., бензин/руль слева, 138 050 км
Honda Civic/$ 4 100/"https://im.mashina.kg/tachka/images//b/3/a/b3ad12d3d7b6cbdcc893218e3aa7645a_240x180.jpg"/2001 г., 1.5 л., автомат/седан, бензин/руль слева, 380 000 км
Hyundai i30/$ 5 500/"https://im.mashina.kg/tachka/images//4/d/e/4de0928a7c69bbbbcb21e6f2e7896d43_240x180.jpg"/2008 г., 1.6 л., механика/хэтчбек 5 дв., бензин/руль слева, 180 000 км
Kia Rio/$ 8 900/"https://im.mashina.kg/tachka/images//5/4/8/548153df50df13a1272b0902acb4558e_240x180.jpg"/2017 г., 1.6 л., механика/седан, бензин/руль слева, 115 000 км
Mitsubishi Galant/$ 4 200/"https://im.mashina.kg/tachka/images//e/0/a/e0a3c3806b18ab629d04eac9633dbf27_240x180.jpg"/2003 г., 2 л., механика/седан, бензин/руль слева, 180 000 км
Mercedes-Benz E-класс/$ 17 200/"https://im.mashina.kg/tachka/images//8/d/0/8d0514ddf027978e44c1b8ab6d84228e_240x180.jpg"/2013 г., 2 л., автомат/седан, бензин/руль слева, 135 000 км
Infiniti FX/$ 5 800/"https://im.mashina.kg/tachka/images//b/e/b/beb4cb4604183c9006704bd5bb570eee_240x180.jpg"/2003 г., 4.5 л., автомат/внедорожник 5 дв., бензин/руль слева, 197 000 км
BMW 5 Серия/$ 7 800/"https://im.mashina.kg/tachka/images//a/9/8/a98ea3f7e7ca8b6902d084fe85815129_240x180.jpg"/2004 г., 3 л., автомат/седан, бензин/руль слева
Volkswagen Passat/$ 2 654/"https://im.mashina.kg/tachka/images//0/a/4/0a404538f11d35743a101a6493fbfcfb_240x180.jpg"/1998 г., 1.8 л., механика/седан, бензин/руль слева
Daewoo Matiz/$ 2 005/"https://im.mashina.kg/tachka/images//4/8/6/486803bdca78222100e188d340a2450c_240x180.jpg"/2007 г., 0.8 л., механика/хэтчбек 5 дв., бензин/руль слева
Toyota Ist/$ 4 364/"https://im.mashina.kg/tachka/images//2/0/5/20570bad5a1ebe2208696c2a6dbd1948_240x180.jpg"/2002 г., 1.5 л., автомат/хэтчбек 5 дв., бензин/руль справа, 290 000 км
Daewoo Matiz/$ 1 533//1998 г., 0.8 л., механика/хэтчбек 5 дв., бензин/руль слева, 187 558 км
Nissan Primera/$ 3 500/"https://im.mashina.kg/tachka/images//1/a/3/1a39bc056aa371dadc6c189d1696ecf0_240x180.jpg"/2000 г., 2 л., автомат/седан, бензин/руль слева, 23 000 км
Honda HR-V/$ 3 900/"https://im.mashina.kg/tachka/images//f/3/5/f3551689a4a4407f7fd4ae1297fc8794_240x180.jpg"/1998 г., 1.6 л., вариатор/внедорожник 3 дв., бензин/руль справа, 300 000 км
Isuzu Rodeo/$ 5 000/"https://im.mashina.kg/tachka/images//0/f/2/0f2dd21c8f2c0b2acc9c9d4275e6890f_240x180.jpg"/1998 г., 3.2 л., автомат/внедорожник 5 дв., бензин/руль слева
Daewoo Nexia/$ 1 946/"https://im.mashina.kg/tachka/images//9/6/8/96887df0aa6e8877681feddcd7c940c3_240x180.jpg"/2003 г., 1.5 л., механика/седан, бензин/руль слева
Mercedes-Benz S-класс/$ 7 500/"https://im.mashina.kg/tachka/images//9/8/4/984036b3dea14e2d5ee8718d09f89a27_240x180.jpg"/2003 г., 4.3 л., автомат/седан, бензин/руль слева
Subaru Legacy/$ 4 200/"https://im.mashina.kg/tachka/images//1/4/8/148e7341361ae6837b5871e21cccefa0_240x180.jpg"/2002 г., 3 л., автомат/седан, бензин/руль справа
Toyota Prius/$ 11 800/"https://im.mashina.kg/tachka/images//8/7/3/8736795575a7233729d4d6d831ca1fd6_240x180.jpg"/2015 г., 1.8 л., автомат/хэтчбек 5 дв., гибрид/руль слева, 207 000 км
Toyota Avensis/$ 11 000/"https://im.mashina.kg/tachka/images//2/9/1/291cda360989b5e939d3f3968ab6010b_240x180.jpg"/2009 г., 2 л., вариатор/седан, бензин/руль слева, 142 000 км
Daihatsu Sirion/$ 4 200/"https://im.mashina.kg/tachka/images//9/d/a/9dafb48f290d3f977a5ed23b93a0c0fd_240x180.jpg"/2008 г., 1 л., механика/хэтчбек 5 дв., бензин/руль слева, 176 000 км
